"from","to","distance"
"Rtng","Rtngo",0.8
"Gdm","Gdm",1.2
"Asd","Asd",0.8
"Odw","Odw",1
"Swk","Swk",12.3
"Nspl","Hlmkr",0.8
"Hlmkr","Zspl",0.3
"Lg","Lg",1.9
"Nml","Nml",2.3
"Est","Est",0.9
"Zd","Zd",2.4
"Ass","Ass",1.1
"Dmnz","Dmnz",0.8
"Gd","Gd",2.4
"Asdta","Aswplm",0.3
"Dvge","Dvge",0.8
"Ahb","Ahb",1
"Wsba","Dhsa",0.4
"Ypb","Ypb",5.4
"Rm","Rm",7.3
"Std","Std",6.6
"Wad","Wad",1.2
"Aml","Aml",3.4
"Hgl","Hgl",1.8
"Dv","Dv",1.5
"Apd","Apd",0.9
"Amf","Amf",2.3
"Hvs","Hvs",7.3
"Utzl","Ut",2
"Zlra","Zlr",0.5
"Zlr","Zl",1.5
"Wt","Wt",16.9
"Dhsa","Wsba",0.4
"Ehv","Ehv",1.9
"Nmgo","Nmgo",2.9
"Nmd","Nmd",2
"Wc","Wc",4.7
"Rvs","Rvs",2.7
"Rtd","Rtd",1
"Rtng","Rtngw",1.2
"Vspa","Dvaz",1.3
"Aswplm","Asdta",0.3
"Asdm","Wgmw",0.5
"Hfd","Hfd",4.7
"Gv","Gv",2
"Wf","Wf",3.4
"Sto","Sto",7.4
"Odb","Odb",7.2
"Pt","Pt",4.8
"Zp","Zp",0.9
"Spbr","Hlmvam",0.9
"Rtn","Rtn",1.5
"Utg","Utg",3.8
"Zl","Zlra",2.1
"Asdar","Asdar",1.6
"Dgok","Asdma",1.2
"Ndb","Ndb",5.5
"Asdz","Asdz",1.7
"Dvd","Dvd",1.5
"Nkk","Nkk",7.5
"Avat","Avat",5.3
"Amfs","Amfs",2.9
"Utln","Utln",4.1
"Gd","Rtd",1.6
"Sdt","Sdt",2.6
"Gdg","Gdg",2.4
"Gn","Gn",1.7
"Hgwbr","Mdo",2.3
"Ddr","Ddr",1.2
"Zzs","Zzs",2.5
"Mp","Mp",0.6
"Tb","Tb",1.8
"Mas","Mas",4.8
"Wgmrba","Wgmrba",1
"Utzl","Utzl",5.2
"Utvr","Utvr",1.7
"Bl","Bl",9.6
"Zl","Zlr",1.5
"Zlr","Zlra",0.5
"Ut","Ut",1.7
"Hlm","Hlm",0.6
"Ht","Ht",3.2
"Ozbm","Ozbm",6
"Rlb","Rlb",3.1
"Hgv","Hgv",4.4
"Ost","Ost",6.6
"Dr","Dr",6
"Bhv","Bhv",2.8
"Hn","Hn",2.3
"Lis","Nwh",4.6
"Mbt","Mbt",5.5
"Bgn","Kraga",4.2
"Btl","Btl",9
"Nm","Nm",2.3
"Asb","Asb",0.8
"Rtst","Rtst",1.7
"Tpsw","Tpsw",1.6
"Bd","Bd",1.1
"Htn","Htn",2.1
"Wd","Wd",4
"Sdm","Sdm",7
"Wgm","Wgm",0.9
"Wm","Wm",1.5
"Wp","Wp",0.3
"Dmn","Dmn",0.9
"Assp","Assp",1.5
"Asdm","Asdm",1.3
"Hde","Hde",8.6
"Rb","Rb",15.6
"Kbd","Kbd",3.4
"Krg","Krg",6.6
"Bzl","Bzl",3.9
"Arn","Arn",2.1
"Vss","Vss",3.9
"Gz","Gz",4.8
"Utlr","Utlr",1.9
"Utt","Utt",1.7
"Vtn","Vtn",2.1
"Rtz","Rtz",1.3
"Rtng","Rtng",1.2
"Ohze","Ohze",8.5
"Almp","Almp",3.1
"Hlmvam","Hlms",1.1
"Ledn","Ledn",2.1
"Dld","Dld",2.8
"Alm","Alm",2.1
"Lls","Lls",2.5
"Dr","Ahpr",1.4
"Cl","Cl",6.6
"Ashd","Ashd",2.1
"Dt","Dt",1.9
"Wt","Ehv",1.9
"On","On",0.9
"Hrn","Hrn",3.2
"Rta","Rta",1.6
"Gpda","Gpda",3.5
"Ah","Ah",1
"Wgmw","Asdm",0.5
"Bda","Bda",8.6
"Zwd","Zwd",0.9
"O","O",1.3
"Ed","Ed",8.8
"Zl","Zl",2.1
"Mrg","Mrg",5.6
"Hks","Hks",8.1
"Zl","Zlptt",0.7
"Zlptt","Zlptta",0.5
"Dgrw","Dgrw",0.3
"Dgok","Dgok",0.7
"Dgro","Dgro",0.8
"Asdmw","Asdmw",0.5
"Wgmo","Wgmo",0.9
"Vtbr","Vtbr",0.3
"Kv","Kv",3.1
"Bsmz","Bsmz",1.7
"Craw","Craw",0.3
"Crao","Crao",1.7
"Hvsm","Hvsm",1.2
"Hvsp","Hvsp",1.2
"Bln","Bln",7.2
"Blw","Blw",0.8
"Uto","Uto",0.9
"Vl","Rm",7.7
"Es","Hgl",5.3
"Hm","Hm",2.2
"Ahbo","Ah",1.1
"Rtb","Rtb",1.1
"Htnc","Htnc",2.1
"Esta","Esta",0.7
"Bkl","Bkl",11.4
"Ow","Ow",10.6
"Eml","Eml",4.8
"Asd","Rsd",8.1
"Hlms","Spbr",2
"Lis","Lis",4.6
"Ac","Ac",1.1
"Vndc","Vndc",7.2
"Vndw","Vndw",5.1
"Bkg","Bkg",3.6
"Va","Va",2.2
"Ah","Ahwa",0.6
"Gvm","Gvm",5.9
"Hmla","Hmla",2
"Hd","Hd",4.5
"Ns","Ns",12.1
"Bgn","Bgn",15.6
"Rat","Rat",5.7
"Asa","Asa",2.9
"Asdl","Asdl",2.3
"Mt","Mt",2.4
"Stb","Stb",2.9
"Almo","Almo",1.8
"Hfdo","Hfdo",1.1
"Hnk","Hnk",2.3
"Bkf","Bkf",1.2
"Zlptta","Zlptt",0.5
"Zlptt","Zl",0.7
"Bv","Bv",2.7
"Hgl","Aml",1.9
"Wdn","Wdn",4.7
"Rsn","Rsn",7.7
"Zbm","Zbm",5.3
"Ampo","Ampo",2.6
"Tbu","Tbu",2.3
"Tbr","Tbr",4
"Vk","Vk",3.2
"Sptn","Sptn",1.1
"Dn","Dn",6.2
